"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"157.3","Tyler Lockett","SEA","2.8","10.7","7.6","9.1","22.4","1.7","4.5","12.3","12.7","10.2","","12.8","18.8","12","6.8","","1.5","11.4"
"102.1","Donovan Peoples-Jones","CLV","6","0","1","7.1","5","7.6","7.1","8.1","","9.9","12.1","1.6","4.4","11.4","9.1","0.2","7.3","4.2"
"33.1","Velus Jones Jr.","CHI","","","","","6.9","1.8","0","3.8","","","0","0.6","0.1","","0.4","5.2","1.3","13"
"66.4","Michael Gallup","DAL","","","","8.4","4.4","1.8","0","4.9","","3.5","4.1","6.3","14.3","4","0.2","9.6","3.9","1"
"3","Tim Jones","JAX","0","","0","0","0","2","0.7","0","0","0","","0","0.3","0","0","0","0","0"
"33.2","Jarvis Landry","NO","11.4","2.5","2.2","0.7","","","","","","3.7","9.3","2","1.4","","0","","",""
"57.7","Nick Westbrook-Ikhine","TEN","1.3","1.3","4","0","7.2","","0","0","0","23.9","2.8","5.8","0.4","8.3","0","2.3","0.4","0"
"4.2","Laquon Treadwell","SEA","","","","","","","","","","","","0","0.1","0","","2.6","1.5","0"
"0.2","Cody White","PIT","","","","","","","","","","","","0.2","","","","","",""
"32.5","Sammy Watkins","BLT","1.8","9.3","","","","","3.6","0.3","0.9","4.7","0","0","0","","","4","0","7.9"
"1.4","Ihmir Smith-Marsette","KC","0","","0","0","1.5","-0.1","","","","","","","","0","","","","0"
"8.9","Cam Sims","WAS","0","0","0","0","0.7","0.6","1.2","2.1","1.2","0","1.7","0","-0.2","","0","0","1.6","0"
"20.1","Keelan Cole Sr.","LV","","","1.2","0","0","","","3","0","0","2.1","1.2","0","1.1","11","0","0","0.5"
"0","Lance McCutcheon","LA","","","","0","","","","","","0","0","0","","","0","0","0","0"
"0","Dez Fitzpatrick","TEN","","","","","0","","","","","","","","","","","","",""
"34.2","Robbie Chosen","ARZ","16.2","3.2","1.4","2.6","3.2","0","0","0","-0.4","0","0","1.7","","5","0","0","1.3",""
"161.6","DeVonta Smith","PHI","0","8","22.9","1.7","8.7","10.4","","2.3","2.2","9.9","7.8","5","16.2","12.4","12.6","23.3","11.5","6.7"
"0","Britain Covey","PHI","","","","","","","","0","0","","","","0","0","","","",""
"32.4","Kendall Hinton","DEN","","2","2.7","3.9","","0.8","1.4","0","","6.2","5.7","4.8","1.1","3.8","","","0",""
"0","Kyric McGowan","WAS","","","","","","","0","0","","","","","","","","","",""
"0","Tyler Johnson","HST","","","","0","0","","","","","","","","","","","","",""
"159.9","Christian Kirk","JAX","11.7","19.8","13.2","6.3","1.1","8.8","10.1","4","13.6","22.5","","4.1","10.4","4.5","9.2","2.6","2.1","15.9"
"46.9","Rondale Moore","ARZ","","","","0.7","6.1","4.9","3.1","16.4","6.9","9.4","-0.6","","","","","","",""
"1.5","Frank Darby","ATL","","","0","","","","","","","","0","","","","","0","0","1.5"
"0","Malik Turner","SF","0","","","","","","","","","","","","","","","","",""
