"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"26.7","Adam Trautman","NO","0","0","0.9","3.7","9.2","0.8","","","0.8","2.2","1.2","1.7","2.8","","0","0","1.6","1.8"
"0","Noah Togiai","PHI","0","0","","","","","","","","","","","","","","","",""
"0.5","Devin Asiasi","CIN","","","0","0","","0","0","0","0","","0","0","0","0","0","0.5","",""
"53.1","Greg Dulcich","DEN","","","","","","10.4","5.1","8.7","","1.1","3","1.1","8.5","4.2","1.1","9.9","",""
"0","Chase Allen","CHI","","","","","","","","","","","","","","","","0","",""
"0","Michael Hoecht","LA","","","","","","","","0","","","","","","","","","",""
"2.6","Trevon Wesco","CHI","","0","0","2.3","0","0","0","0","0","0","0","0.3","0","","","","0","0"
"36.9","Mo Alie-Cox","IND","2.6","0.9","0.9","20.5","0.7","0","0","0","1.3","0","1.4","1.4","0.6","","0","0.2","0","6.4"
"12.5","Chris Myarick","NYG","6.1","0","0.6","0","0.4","0","2.1","1","","0","0","2.3","0","0","0","","0",""
"88.2","Dallas Goedert","PHI","6","8.2","8.6","7.2","9.5","2.2","","6.4","16","8.3","","","","","","6.7","4.5","4.6"
"59","Robert Tonyan","GB","3.6","1.1","3.7","8.2","2.3","9","3.2","3.5","2.9","0.8","1.9","2","1","","0.4","1.3","11.2","2.9"
"127.4","T.J. Hockenson","MIN","3.8","2.6","7.8","29.9","0.6","","4.8","8","7","4.5","3.4","10.3","3.3","7.7","3.3","22.9","5.9","1.6"
"10","Giovanni Ricci","CAR","0","1.6","1.5","0","2.7","0","0","0","0.8","0.2","","","","0","0","0","3.2","0"
"12.8","Brevin Jordan","HST","0.5","0.3","","","","","0","1.9","0.5","","","","4.6","0","0.9","2.1","2","0"
"79.5","Jordan Akins","HST","","","9.1","3.3","2.2","","6.8","0.5","0","7.2","0.8","12.1","2.1","0.5","8.2","3.9","3.8","19"
"66.2","Mike Gesicki","MIA","0.1","10.1","0.6","2.3","3","18.9","2.7","9.8","0.3","3.1","","0","0","0","0.5","2.4","7.8","4.6"
"101.9","Evan Engram","JAX","2.8","4.6","0.9","1.6","6.9","4","6.7","11.5","0.8","1.4","","0.4","9","28.2","6.2","11.3","2.9","2.7"
"54.5","Foster Moreau","LV","0","3","4.4","","","","2.8","3.1","4.7","10.3","3.3","9.3","3.2","0","2","1.9","5.5","1"
"17.3","James Mitchell","DET","","","","0","0","","0","1.4","6.8","0.4","0","2.2","0","0","1.2","3.1","1.5","0.7"
"35.2","C.J. Uzomah","NYJ","0","","0.5","0","1.2","1.7","0.5","2.7","1.6","","0","1.7","3.1","0.7","16.1","3","2.4",""
"0.8","Jeremy Ruckert","NYJ","","0","","0","0","","","","","","","0","","","","","","0.8"
"23.8","Connor Heyward","PIT","0","0","0","0","1.2","4.9","0.6","0","","0.9","0","0","7.7","1.3","0","2.1","0","5.1"
"0","Jared Pinkney","LA","","","","","","","","","","","","","","","","","0","0"
"16.5","Ross Dwelley","SF","1.1","9.8","0","0","0","","0","5.6","","","0","0","","","0","","",""
"0","Jacob Hollister","LV","","","","","","","","0","","","","","0","0","","","",""
"0.9","Stephen Anderson","ARZ","0","0.2","0","0","0","","0","0","0","0","0","0","","0.7","0","0","","0"
"72.6","Noah Fant","SEA","1.6","1.1","2.7","6.2","4.9","4.5","0.7","1.9","9.6","3.4","","3.4","10.2","0","9.2","7.2","4","2"
"10.9","Brycen Hopkins","LA","0","0","","","","0","","0","0","1.1","0","1.2","0","0.8","0","5.7","2.1","0"
"2.3","Cole Turner","WAS","","","","","0","2.3","0","","","","0","0","0","","0","0","0","0"
"1.7","Stone Smartt","LAC","","","","","","","","","","","0.6","0","0.3","0.8","","0","0","0"
"18.6","Marcedes Lewis","GB","0","0","0","0","6.2","0","0","0","1.9","-0.1","0","0","0","","1.4","9.2","0","0"
"4.9","Charlie Kolar","BLT","","","","","","","","","","","","","","","","","0","4.9"
"0.6","Mason Schreck","HST","","","","0","0.6","","","","","","","","","","0","","",""
"25","Durham Smythe","MIA","1.4","0.5","2.3","0","6.9","","0","0","0","0","","6.4","2.1","0","-0.2","0.8","0.9","3.9"
"1.8","Maxx Williams","ARZ","0","0","0","0","","","","","","","0.7","0","","0","1.1","0","0","0"
"52.9","Will Dissly","SEA","10.3","0","9.4","9.9","2.1","1.2","4.5","1.2","2.4","2.8","","1.7","2.2","2","1.3","1.9","",""
"56.4","Austin Hooper","TEN","0.6","1.9","1.9","0.4","0.7","","5.6","0.5","3.4","4.1","15.6","3","2.2","6.8","3.3","2","0.6","3.8"
"29.4","Jake Ferguson","DAL","0","0","1.3","0.7","0","10","0.7","6.1","","0","1.5","5.7","-0.1","0","","2.4","0.7","0.4"
"87.7","Dawson Knox","BUF","0.5","4.1","2.5","4","","9.7","","7","2.5","5.7","7","1.7","0","10.1","15.8","9.8","","7.3"
"30","Shane Zylstra","DET","0","0","0","","","","","","6.1","0","0","0","0.4","1.8","0.4","20.6","0.7","0"
"11.7","Pharaoh Brown","CLV","1.7","2.4","3.1","","0","2.1","0","0","","1.3","0","0","1.1","0","0","0","0","0"
"19","Donald Parham Jr.","LAC","","","","","0","5.3","","","","","","","","","3.5","0.8","6.3","3.1"
"0","Matt Sokol","NE","","","","","0","","","","","","","","","","","","0","0"
"22.8","Jody Fortson","KC","6.1","0","0","7","0","0","0.8","","","0.6","5.1","2.6","0.6","0","0","","",""
"0.4","Richard Rodgers","LAC","0","0","0","0","","","0","","0","0.4","0","0","0","","","","",""
"97.3","Cole Kmet","CHI","0","0","4","1.6","4.5","1.5","3.2","7.1","17","19.4","3.5","2.7","7.2","","2.5","2.7","8.7","11.7"
"11.4","Josiah Deguara","GB","2.8","0","0","0","1.9","0.9","0","0.9","4.1","0","0","0","0","","0","0.4","0.4","0"
"28.5","Peyton Hendershot","DAL","0","0","4.3","0","0","2.2","6.5","1.5","","0","-0.2","6.2","0","0","8","0","0","0"
"14","Ko Kieft","TB","0","0","0","1.9","0","0","1.8","0.9","0.6","0","","6.5","1.2","1.1","0","0","0","0"
"62.9","Hunter Henry","NE","2","0","0.8","1.3","5.4","12.1","1.2","2.2","5","","2","12.3","1.3","7","0.9","0","5.2","4.2"
"30.7","Harrison Bryant","CLV","1.8","4.5","0","1.8","0","1.8","1.5","0","","7.5","4.1","0.9","1.4","0.8","0.7","0","1.9","2"
"0.7","Tommy Sweeney","BUF","0","","","","0","0.7","","","","","","","0","0","","","",""
"0","Jake Tonges","CHI","0","","0","0","","","","","","","","","","","","","",""
"0","Jesse James","CLV","0","0","","","","","","","","","","","","","","","",""
"17.8","Lawrence Cager","NYG","0","","","","","","","0","","6.9","2","2","","","0","","","6.9"
"5.5","Nick Vannett","NYG","","","0.5","","","","0","0.8","","","","","0","0.9","1.5","0","0","1.8"
"64.6","Zach Ertz","ARZ","7.4","7.5","4.5","10.7","4.8","7","2.1","9.4","10","1.2","","","","","","","",""
"26.5","O.J. Howard","HST","15.8","0.7","0","2.7","0","","0","2.4","1.4","0","0.9","0","","0","","","2.6",""
"19.8","Mitchell Wilcox","CIN","0","0.3","0.9","1.8","0","0","1.4","0.3","0","","0","0","1.3","1","9.3","3.5","","0"
"42","Noah Gray","KC","1","1.2","2.6","6.1","0.7","1.3","1","","4.5","8","1.5","1.6","1.5","4.5","3.1","0.8","1.2","1.4"
"13.2","Tanner Hudson","NYG","0","2.2","0","1.8","0","0","0","5.8","","2.4","0","1","","","","","",""
"0","Miller Forristall","CLV","","","0","0","","","","0","","0","","","","","","","",""
"25","Jonnu Smith","NE","3.3","0","2.5","0","","6.1","0.4","1","2.1","","4.5","0","0.6","0","2.4","2.1","",""
"0","Mike Purcell","DEN","","","","","","","","","","","","","","0","","","",""
"6.7","Tyler Mabry","SEA","","","","","","","","","","","","","","","","","6.7","0"
"86","David Njoku","CLV","0.7","3.2","14.9","6.7","8.8","5.8","7.1","","","","1.7","8.9","","11.7","2.8","1.4","2.1","10.2"
"30.2","Irv Smith Jr.","MIN","0","9.6","3.2","2.3","4.2","6.7","","2.8","","","","","","","","","","1.4"
"19.7","Ian Thomas","CAR","5.3","1.3","1.3","0.6","0.8","2.2","0.3","0.2","0","0","2.4","2.1","","1.1","0","1.2","0.9","0"
"0","Roger Carter","LA","","","","","","","","","","","","0","","","","","",""
"0","Nick Boyle","BLT","","","0","","","0","0","0","0","","0","0","","","0","0","",""
"0","Charlie Woerner","SF","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0"
"8.1","Grant Calcaterra","PHI","","","4","0","0","0","","0","0","0","0","-0.2","1.9","2.4","0","0","","0"
"-0.2","Drew Sample","CIN","0.2","-0.4","","","","","","","","","","","","","","","",""
"0","Nikola Kalinic","IND","","","","","","","","","","0","0","0","","","0","0","0","0"
"20.8","Eric Saubert","DEN","0","8.2","0","2.5","3.6","0","0","0","","1.2","1.6","0","0","0.2","0.5","0","3","0"
"14.4","Quintin Morris","BUF","","0.6","2.2","0","3.9","0","","0","0","0","0","0.3","","0","7.4","0","","0"
"45.1","Daniel Bellinger","NYG","0","7.6","4","2.3","8.4","9.8","1.3","","","","","","2.4","1.9","0.4","2.8","4.2",""
"56.8","Darren Waller","LV","7.9","11","2.2","2.4","0","","","","","","","","","","10.8","5.8","13.2","3.5"
"55.3","Isaiah Likely","BLT","0","4.3","0.8","0","0.7","3","1.6","13.7","8.4","","0.1","","3","0","1.8","0.4","7.2","10.3"
"20","Johnny Mundt","MIN","1.7","2.8","2.3","0","0.6","0.1","","6.1","0.1","0","0.8","2","1.2","0","0.7","1.6","0","0"
"0","Kenny Yeboah","NYJ","","0","","","","0","0","","0","","","","","","","0","0","0"
"0","J.P. Holtz","NO","","","","0","0","0","0","0","0","","","","","","","","",""
"92.8","Juwan Johnson","NO","4.3","4","0","3.3","1.3","4.1","15.2","1.4","10.2","10.4","10.7","0","","","18.7","0.9","6.2","2.1"
"32.5","Trey McBride","ARZ","","0","0","2.4","0","0","0","0","0","0.7","1.4","0.1","","2.8","5.5","1.7","13.8","4.1"
"38.3","Logan Thomas","WAS","4.5","9.7","0.5","1.9","","","","0","0","1.2","6.5","0.7","2","","0.6","3.5","5.6","1.6"
"44.2","Colby Parkinson","SEA","10.3","0","4.4","2.8","0","1.1","2.8","0.5","0.6","0.7","","0","1.2","1","0","4.5","9.6","4.7"
"0","Kevin Rader","TEN","","","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0"
"1.9","Jesper Horsted","LV","","0","","0","1.9","","0","0","0","0","","","","","","","0",""
"0","Lucas Krull","NO","","","","","","","","","","","","","0","","","","",""
